"annee","etablissement","academie","domaine","discipline","situation","nombre_de_reponses","taux_de_reponse","poids_de_la_discipline","taux_dinsertion","emplois_cadre_ou_professions_intermediaires","emplois_stables","emplois_a_temps_plein","salaire_net_median_des_emplois_a_temps_plein","salaire_brut_annuel_estime","de_diplomes_boursiers","taux_de_chomage_regional","salaire_net_mensuel_median_regional","emplois_cadre","emplois_exterieurs_a_la_region_de_luniversite","femmes","salaire_net_mensuel_regional_1er_quartile","salaire_net_mensuel_regional_3eme_quartile"
2012,"Saint-Etienne - Jean Monnet","Lyon","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",147,76,55,"92","80","64","98","1720","26800",31,"8.9","1780","45","35","53","1430","2130"
2012,"Saint-Etienne - Jean Monnet","Lyon","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","18 mois après le diplôme",65,82,24,"93","79","63","96","1730","27000",31,"8.9","1780","42","32","60","1430","2130"
2012,"Strasbourg","Strasbourg","Sciences, technologies et santé","Informatique","18 mois après le diplôme",38,81,4,"92","97","82","100","","",23,"9.3","1760","93","45","7","1430","2080"
2012,"Toulon - Sud Toulon Var","Nice","Droit, économie et gestion","Gestion","18 mois après le diplôme",37,73,21,"81","73","47","100","","",40,"11.7","1790","26","22","75","1390","2170"
2012,"Toulouse - Jean Jaures","Toulouse","Lettres, langues, arts","Lettres, langues, arts","18 mois après le diplôme",89,69,28,"86","56","58","83","1380","21500",37,"10.5","1760","39","52","79","1420","2090"
2012,"Toulouse 3 - Paul Sabatier","Toulouse","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",46,71,9,"96","88","79","95","1940","30300",40,"10.5","1760","74","27","54","1420","2090"
2012,"Tours - François Rabelais","Orléans-Tours","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","18 mois après le diplôme",35,85,9,"79","","","","","",27,"9.8","1780","","","51","1460","2110"
2012,"Tours - François Rabelais","Orléans-Tours","Lettres, langues, arts","Lettres, langues, arts","18 mois après le diplôme",39,66,11,"80","74","53","79","","",27,"9.8","1780","41","63","87","1460","2110"
2012,"Tours - François Rabelais","Orléans-Tours","Sciences humaines et sociales","Psychologie","18 mois après le diplôme",41,78,10,"79","90","42","65","","",27,"9.8","1780","80","62","85","1460","2110"
2012,"Chambéry - Savoie","Grenoble","Masters enseignement","Masters enseignement","18 mois après le diplôme",59,88,100,"98","89","79","93","1650","25700",42,"8.9","1780","80","8","88","1430","2130"
2012,"Clermont-Ferrand 2 - Blaise Pascal","Clermont-Ferrand","Masters enseignement","Masters enseignement","18 mois après le diplôme",108,72,100,"100","89","82","88","1680","26200",48,"8.9","1740","88","44","72","1400","2020"
2012,"La Réunion","La Réunion","Masters enseignement","Masters enseignement","18 mois après le diplôme",83,74,100,"93","86","81","75","2530","39500",54,"","","81","10","86","",""
2012,"Limoges","Limoges","Masters enseignement","Masters enseignement","18 mois après le diplôme",45,67,100,"98","77","80","91","1660","25900",29,"9.3","1720","72","30","80","1390","1980"
2012,"Lorraine","Nancy-Metz","Masters enseignement","Masters enseignement","18 mois après le diplôme",210,75,100,"97","85","76","85","1670","26100",31,"10.7","1760","73","39","86","1400","2050"
2012,"Saint-Etienne - Jean Monnet","Lyon","Masters enseignement","Masters enseignement","18 mois après le diplôme",83,83,100,"100","89","78","92","1650","25700",36,"8.9","1780","78","38","72","1430","2130"
2012,"Valenciennes - Hainaut-Cambrésis","Lille","Masters enseignement","Masters enseignement","18 mois après le diplôme",31,88,100,"94","","","","","",61,"13","1780","","19","64","1450","2080"
2012,"Montpellier","Montpellier","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","30 mois après le diplôme",423,64,59,"89","88","78","97","2000","31200",36,"14.3","1680","58","97","56","1310","2010"
2012,"Montpellier","Montpellier","Sciences, technologies et santé","Sciences fondamentales","30 mois après le diplôme",49,79,5,"80","97","51","100","1730","27100",36,"14.3","1680","59","100","65","1310","2010"
2012,"Aix-Marseille","Aix-Marseille","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","30 mois après le diplôme",563,68,44,"91","82","76","93","1900","29600",29,"11.7","1790","55","46","61","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Droit, économie et gestion","Droit","30 mois après le diplôme",150,70,12,"89","81","80","91","1910","29800",29,"11.7","1790","59","50","71","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Lettres, langues, arts","Lettres, langues, arts","30 mois après le diplôme",100,71,8,"85","68","47","79","1400","21800",29,"11.7","1790","44","53","85","1390","2170"
